,x,y,z,category
Palladio w/Velour Stripe Hand Towel White 45x75cm,0.557194824,0.218575453,-0.360936949,Accessories
Rattan Gable Bedhead Whitewash Queen 153x120cmh,0.89928348,-1.179563644,0.026091627,Accessories
Lamp Table Clock Diamond Yellow,1.462469764,-0.78485396,-0.09522903,Accessories
Rattan Gable Waste Paper Basket Pepper 32x32x40cm Lge,0.330669456,0.48475006,-0.331675789,Accessories
Rattan Gable Waste Paper Basket Pepper 25x25x35cmh Sm,0.125131909,0.596554593,-0.360110131,Accessories
Round Display Bowl Pepper Lge 51cmdiax16cmh,-0.007251372,0.208066358,0.006748083,Accessories
Round Display Bowl Pepper Sm 34cmdiax14cmh,-0.390387874,0.20670297,-0.357724148,Accessories
Palladio w/Velour Stripe Face Cloth Stone 35x35cm,-0.724194471,-0.256578093,-0.261653062,Accessories
Rattan Gable Storage Basket Pepper 56x38x23cmh Lge,0.341253912,0.382660953,-0.277955757,Accessories
Rattan Gable Storage Basket Pepper 50x37x18cmh Sm,0.588315422,1.148416121,0.325195081,Accessories
Citta Gift Box Azalea Red Sm 24.5x18x5cmh,1.321068235,0.077365571,-1.31685008,Accessories
Vita Linen Cushion Cover Smoke/Ash 55x55cm,0.13842123,0.549785236,-0.249785663,Accessories
Rattan Gable Storage Basket Whitewash 56x38x23cmh Lge,1.25878702,0.094083832,-1.275897826,Accessories
Orla Linen Cushion Cover Smoke/Ash 55x55cm,1.274667611,0.082558229,-1.267196864,Accessories
Albin Linen Cushion Cover Ash 55x55cm,1.292503212,0.044680835,-1.254769773,Accessories
Torben Linen Cushion Cover Smoke 55x55cm,0.194042981,0.513892809,-0.340178139,Accessories
Spindle Rect Storage Basket Whitewash 56x38x23cmh,-0.311235352,-0.012117068,-0.331435103,Accessories
Vertical Velour Stripe Bath Sheet Stone 89x152cm,-0.910708822,-0.326170973,-0.088053407,Accessories
Vertical Velour Stripe Bath Towel Stone 74x137cm,-1.200048224,-0.185667552,0.047177202,Accessories
Vertical Velour Stripe Hand Towel Stone 45x75cm,1.109552609,-0.642655321,0.097433036,Accessories
Crecy Side Table Taupe/Chocolate Sm 45x60cmh,0.660660576,-0.365460481,-0.269392775,Accessories
Washed Linen Curtain Charcoal 145x240cm,1.139323255,-0.781300563,0.031831487,Accessories
Butterfly Wall Clock Aluminium,0.856379031,-0.760583485,-0.235850848,Accessories
Washed Linen Curtain Ecru 145x240cm,1.308282542,-0.882564427,0.15601179,Accessories
Butterfly Wall Clock White,-0.270087786,-0.909191906,-0.096992538,Accessories
Linen Voile Curtain Natural 145x240cm,0.935935602,-0.769683309,-0.377124761,Accessories
Linen Voile Curtain Charcoal 145x240cm,0.936370434,-0.839763719,-0.362035684,Accessories
Linen Voile Curtain Ecru 145x240cm,0.596157781,0.661544201,-0.509628715,Accessories
Anton Mouth Blown Glass Vase Clear 35x55cmh,0.450206244,0.384409488,-0.417623409,Accessories
Anton Mouth Blown Glass Bowl Clear 39x39cmh,-1.190257623,-0.636352544,-0.090882805,Accessories
Old Stool 50x25x52cmh approx size (Assorted) Curved top,0.895754686,-1.176338329,0.02405143,Accessories
Float Glass Wall Clock Platinum Sm,0.246158168,0.330690298,-0.456936219,Accessories
Oval Mouth Blown Glass Vase Clear 38x25x38cmh,0.866007895,-0.738144925,0.131768081,Accessories
Float Glass Wall Clock White Lge,0.315010939,-1.086547361,0.038872856,Accessories
Pluto Mohave Chair Grey 69x88x114cmh,-0.082849337,-0.044085253,-0.158382933,Accessories
Conic Mouth Blown Glass Vase w/Bubbles Clear 9.5x11cmh,1.15065322,-0.654295459,0.044879419,Accessories
Milton Campden Chair Natural 75x91x94cmh,-0.020954048,0.34845088,-0.003952234,Accessories
Old Rice Measure Nude (Assorted),-1.566255627,-0.459822316,0.403708419,Accessories
Blu Marine Glass Platter Clear/Blue 33.5cmdiax6cmh,1.710383067,0.076620902,-1.625796052,Accessories
Chassis Oak Dining Table White 220x100x75cmh,-1.542120391,-0.490342389,0.3685452,Accessories
Blu Marine Glass Bowl Clear/Blue L 25cmdiax10.5cmh,-0.072058595,0.312792965,-0.302406129,Accessories
Sakura Bath Sheet Carbon/Oyster 89x152cm,0.884620433,-0.622062613,0.359246469,Accessories
Cadogan Tolawa Sofa Cloud 245x105x92cmh,-1.422982113,-0.259182093,0.127218181,Accessories
Conic Mouth Blown Glass Vase Orange 12x14cmh,0.340160946,0.447483242,-0.30578363,Accessories
Conic Mouth Blown Glass Vase Steel Blue 12x14cmh,-1.340731494,-0.103916904,0.202630607,Accessories
Conic Mouth Blown Glass Vase Lavender Blue 12x14cmh,-1.282067594,-0.166328638,0.336494244,Accessories
Conic Mouth Blown Glass Vase Lavender Blue 15x17cmh,-0.864268778,-0.078433932,-0.121164992,Accessories
Conic Mouth Blown Glass Vase Lavender Blue 20x23cmh,2.036188252,-1.082552512,-0.830337243,Accessories
Rattan Gable Bedhead Whitewash K/SK 183x120cmh,1.93908313,-1.588196615,-0.244569271,Accessories
Rattan Gable Bedhead Pepper Queen 153x120cmh,1.756754553,-0.449293695,-1.034353511,Accessories
Rattan Gable Bedhead Whitewash Queen 153x120cmh,0.292236443,0.465312487,-0.381516052,Accessories
Rattan Gable Bedhead Whitewash Double 138x120cmh,-0.319899042,-0.131557709,-0.047706803,Accessories
Isla Printed Quilt Ink King 240x260+3cm,-0.07226835,0.012053177,-0.026377177,Accessories
Rattan Gable Bedhead Whitewash Single 110x120cmh,-0.091245447,0.264564751,-0.312484774,Accessories
Rattan Gable Bedhead Pepper Double 138x120cmh,-0.128856531,0.317126783,-0.388040957,Accessories
Rattan Gable Bedhead Pepper Single 110x120cmh,2.445590961,-0.722146648,-1.511567975,Accessories
Rattan Gable Lounge Chair Pepper  78x102x90cmh,1.501667569,-0.155843211,-0.91834765,Accessories
Rattan Gable Ottoman Pepper  82x64x37cmh,-0.26983367,0.334695942,-0.210064085,Accessories
Globe Velour Hand Towel Black/Stone 50x70cm,0.393026892,0.592269517,-0.353624933,Accessories
Lge Aria Vase/Hurricane Lamp Clear 18x32cmh,2.378050048,-0.691174216,-1.469446493,Accessories
Rattan Gable Lounge Chair Whitewash  78x102x90cmh,-0.205693578,0.238076385,-0.095608196,Accessories
Med Aria Vase/Hurricane Lamp Clear 22x20cmh,2.464803189,-0.728531174,-1.525684284,Accessories
Rattan Gable Sofa Whitewash  207x102x89cmh,1.222987788,0.785533001,-0.071791647,Accessories
Rattan Rectangular Tray Pepper Lge 63x45x7cmh,-0.202634947,0.182935805,-0.228179293,Accessories
Rattan Gable Storage Basket Whitewash 18/23cmh S/2,0.069864553,0.340320916,-0.354417008,Accessories
XL Aria Vase/Hurricane Lamp Clear 22x40cmh,-1.14000278,-0.05283149,0.279972653,Accessories
Rattan Gable Waste Paper Basket Whitewash 40cmh,0.407048214,0.587774,-0.409021459,Accessories
Lge Cylinder Basin Clear 38x21cmh,1.998317845,-1.038340132,0.745238388,Accessories
Village Classic Candle Iris 27cl,1.815341643,-1.443094497,0.145620471,Accessories
Shade for Pols Potten Lamp 22x22x15in,-1.785267226,-0.318677731,0.186162709,Accessories
Rattan Gable Waste Paper Basket Whitewash 35cmh,-1.82743595,-0.3011083,-0.015722015,Accessories
Flux Bath Towel Oyster/Carbon 70x140cm,-1.540229956,-0.251368011,-0.011955978,Accessories
Flux Hand Towel Oyster/Carbon 50x70cm,-1.156625756,-0.584471466,-0.155193129,Accessories
Spindle Rect Storage Basket Whitewash 23cmh,-0.814177641,-0.458042357,-0.099956347,Accessories
Spindle Rect Storage Basket Whitewash 21cmh,-1.758916004,-0.301397616,0.014517354,Accessories
Flux Face Cloth Oyster/Carbon 34x34cm,-1.492890963,-0.180763748,-0.115441515,Accessories
Spindle Waste Paper Basket Whitewash 40cmh,-1.426603909,-0.576981466,0.040526,Accessories
Spindle Waste Paper Basket Whitewash 37cmh,2.669094231,-1.268020014,-1.343351966,Accessories
Rattan Gable Sofa Pepper  207x102x89cmh,-1.733066565,-0.224877903,0.208580471,Accessories
Houndstooth Face Cloth Oyster/Carbon 34x34cm,-0.26165372,-0.066506621,0.054990591,Accessories
Partridge in a Pear Tree Silver Lge 118cmh,-1.225339505,-0.192486511,0.216519689,Accessories
Houndstooth Hand Towel Hot Pink/Carbon 50x70cm,-0.888028756,-0.250970497,-0.200931289,Accessories
Rattan Gable Storage Basket Pepper Lge 56x38x23cmh,-1.25980138,-0.200902195,0.209078863,Accessories
Houndstooth Hand Towel Mint/Carbon 50x70cm,0.244047135,0.400063176,-0.314056257,Accessories
Rattan Gable Storage Basket Pepper Sm 50x37x18cmh,-1.313450757,-0.212270898,0.223425456,Accessories
Houndstooth Hand Towel Orange/carbon 50x70cm,-0.180314243,0.327697678,-0.009100027,Accessories
Ripple Acrylic Highball Clear 16cmh,1.193479192,0.794489425,-0.043250691,Accessories
Spindle Tray Whitewash   63x45x7cmh,-0.589198273,0.279984429,0.165251279,Accessories
Pixel Velour Bath Sheet Multi 100x160cm,2.343525929,-1.78308416,-0.615442164,Accessories
Altan Chair Whitewash  75x79x94cmh,0.215702694,0.316486913,-0.379452889,Accessories
Pixel Velour Bath Towel Multi 70x140cm,0.146616893,-0.002992461,-0.151821682,Accessories
Pixel Velour Face Cloth Multi 34x34cm,-1.53267744,-0.674844598,0.435556342,Accessories
Ripple Acrylic Salad Bowl Clear Sm 15.5cmdia,-0.409570543,-0.109562616,-0.109752262,Accessories
Ripple Acrylic Jug Clear 28cmh,-1.424784512,-0.247031471,0.301589241,Accessories
Diamond Cut Acrylic Salad Bowl Clear Lge 25cmdia,0.132537296,0.387707564,-0.317812422,Accessories
Azalea Velour Bath Towel Oyster/Carbon 70x140cm,-1.411507104,-0.203309495,0.241907743,Accessories
Azalea Velour Hand Towel Oyster/Carbon 50x70cm,-1.161388783,-0.182363963,0.223693273,Accessories
Diamond Cut Acrylic Salad Bowl Clear Sm 13.5cmdia,-1.41689183,-0.20500406,0.14260719,Accessories
Azalea Velour Face Cloth Oyster/Carbon 34x34cm,-1.578522147,-0.384734958,-0.470424314,Accessories
Konrad Euro Pillowcase Night/Multi 65x65cm,0.941499667,-0.769300265,0.345493534,Accessories
Village Roomspray Moroccan Rose 100ml,-1.639091679,-0.637972002,-0.525069303,Accessories
Konrad Duvet Cover Night/Multi K 245x210cm,1.504152009,-1.055435322,0.185798518,Accessories
Village Roomspray Sandalwood 100ml,-1.464695074,0.151347495,-0.048022608,Accessories
Konrad Pillowcase PR Night/Multi 75x50cm,-0.426175227,0.041598289,-0.434658173,Accessories
Lumen Wild Rose Scent Candle Pink 9x9cmh,-0.981824333,0.232785578,-0.047945144,Accessories
Konrad Duvet Cover Night/Multi Q 210x210cm,1.745220009,-1.135803321,0.22284113,Accessories
Village Roomspray White Tea 100ml,-1.144835112,-0.579868709,-0.489997397,Accessories
Konrad Duvet Cover Night/Multi SK 265x210cm,2.379547756,-0.692229116,-1.470506774,Accessories
Cushion Cover for Gable Lounge Chair Off White 58x62x9cmh,2.422499419,-0.709149592,-1.499698458,Accessories
Cushion Cover for Gable Sofa Off White 92x62x9cmh,-1.150053816,-0.153509508,0.095650368,Accessories
Snug Unisex Dressing Gown Off White L,-1.186325803,-0.01194059,0.366361043,Accessories
Snug Unisex Dressing Gown Off White M,-1.871381865,-0.21224194,0.29102104,Accessories
Aquarius Pool Towel Marina/Geranium 79x150cm,-1.189038482,0.011732857,-0.228522249,Accessories
Snug Unisex Dressing Gown Off White S,-1.668404437,-0.293644276,0.072146422,Accessories
Sakura Bath Sheet Carbon/Oyster 100x160cm,-1.600318741,-0.26640494,0.035816951,Accessories
Sakura Bath Towel Carbon/Oyster 70x140cm,0.467792149,0.471527236,-0.438856687,Accessories
Glass Front Curio Cabinet w/3 Shelves 91x36x175cmh,-1.473619518,-0.23592807,0.015165608,Accessories
Sakura Hand Towel Carbon/Oyster 50x70cm,-1.554067125,-0.254696127,0.027208071,Accessories
Sakura Face Cloth Carbon/Oyster 34x34cm,-0.028225413,0.365319761,-0.048885408,Accessories
Kang Table Original 53x43x31cmh,-0.803454785,0.16461481,-0.428991147,Accessories
Kaya w/Tassels Euro Pillowcase Cream 65x65cm,0.251245668,0.480317262,-0.450969779,Accessories
Wax Lantern Candle Corfu 8cmdiax8cmh,-1.702958382,-0.377104116,-0.068218804,Accessories
Wax Lantern Candle Pumice 8cmdiax8cmh,-1.275580548,-0.054308586,0.500178695,Accessories
Diamond Printed Sarong White 100x180cm,-0.762940189,0.004522352,-0.280606312,Accessories
Fest Linen Napkin White 45x45cm,0.492312377,0.434631687,-0.597009013,Accessories
Jul Linen Napkin Ecru 45x45cm,-1.224125372,-0.155514375,-0.156484492,Accessories
Wax Lantern Candle Sea Mist 8cmdiax8cmh,1.116158051,0.812697876,-1.426323785,Accessories
Sove Linen Duvet Cover Ecru D 180x210cm,1.125386179,0.968476917,-1.192194478,Accessories
Sove Linen Euro Pillowcase Ecru 65x65cm,-1.539142052,0.087797451,0.575127096,Accessories
Abella Boxer Shorts Multi XL 14+,0.193107547,0.517617653,-0.396209364,Accessories
Metal Embossed Frame Mirror Antique 90x150cmh,0.888932094,0.994536913,-1.110799789,Accessories
Sove Linen Duvet Cover Ecru K 245x210cm,0.657057121,0.602554074,-0.406706324,Accessories
Glass Hurricane Lamp On Pedestal Clear 22x43cmh,-1.555023416,-0.690887545,0.563403994,Accessories
Abella Boxer Shorts Multi Lge 12-14,0.698046524,0.940687695,-1.228066477,Accessories
Sove Linen Duvet Cover Ecru KS 160x210cm,2.091484003,-0.212431317,0.909352731,Accessories
Lge Aria Vase/Hurricane Lamp Clear 18x32cmh,-0.307356364,0.039266277,-0.497722077,Accessories
Abella Boxer Shorts Multi Med 10-12,0.887385428,0.996811325,-1.111572817,Accessories
Sove Linen Pillowcase PR Ecru 76x50cm,0.687212833,0.880414256,-0.272446365,Accessories
Med Aria Vase/Hurricane Lamp Clear 22x20cmh,0.86399099,0.973283347,-1.122834061,Accessories
Sove Linen Duvet Cover Ecru Q 210x210cm,-0.450419791,-0.078655999,0.06069744,Accessories
Sm Aria Vase/Hurricane Lamp Clear 18x16cmh,0.93671678,1.070103673,-1.214023524,Accessories
Sove Linen Duvet Cover Ecru SK 265x210cm,0.851429783,1.180328061,-0.919406984,Accessories
Sove Linen Duvet Cover Oyster D 180x210cm,0.128072085,0.39153477,-0.305790173,Accessories
Med Calypso Bubble Vase White 19x24cmh,1.111732254,0.92747922,-1.250286614,Accessories
Sove Linen Euro Pillowcase Oyster 65x65cm,0.43320357,0.439521999,-0.396232292,Accessories
Loft High Shelving Unit Whitewash 178x36x178cmh,1.110614419,0.953987092,-1.217515374,Accessories
Sove Linen Duvet Cover Oyster K 245x210cm,1.007986341,0.902445831,-1.080119731,Accessories
XL Aria Vase/Hurricane Lamp Clear 22x40cmh,0.180890287,0.43508524,-0.301792401,Accessories
Loft Low Shelving Unit Whitewash 178x43x81cmh,0.780511132,0.962517335,-1.632968289,Accessories
Sove Linen Duvet Cover Oyster KS 160x210cm,-0.480375811,-1.248000986,0.64881472,Accessories
Sm Cylinder Basin Clear 30x16cmh,1.034353196,0.856885222,-1.08627653,Accessories
Sove Linen Pillowcase PR Oyster 76x50cm,-0.673937056,-0.198244769,-0.524652365,Accessories
Oval Mouth Blown Glass Grey Dust 19x21cmh,0.990488107,0.865144642,-1.204189993,Accessories
Sove Linen Duvet Cover Oyster Q 210x210cm,-0.236931264,0.043594863,-0.231645672,Accessories
Oval Mouth Blown Glass Grey Dust 14x16cmh,1.158339354,1.010651854,-1.312892247,Accessories
Sove Linen Duvet Cover Oyster SK 265x210cm,-0.393028253,-0.159357626,-0.469722525,Accessories
Sove Linen Duvet Cover Mist D 180x210cm,-0.702310366,0.005027063,-0.903402067,Accessories
Sove Linen Euro Pillowcase Mist 65x65cm,-0.907999527,0.156902696,-0.696588997,Accessories
Sove Linen Duvet Cover Mist K 245x210cm,-1.165758461,-0.097069158,-0.813002141,Accessories
Sove Linen Duvet Cover Mist KS 160x210cm,-0.548892163,0.072115757,-0.97262449,Accessories
Sove Linen Pillowcase PR Mist 76x50cm,0.833121522,-0.879151271,0.289404109,Accessories
Mykerinos Home Fragrance,-0.820066874,0.116036455,-1.032048287,Accessories
Sove Linen Duvet Cover Mist Q 210x210cm,-0.936335352,0.153775221,-1.079903028,Accessories
Sove Linen Duvet Cover Mist SK 265x210cm,-0.014265214,-0.292860474,-0.022181295,Accessories
