0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Houses Long Serving Platter Natural/White  48x15x1.6cmh,0.051922099,0.063338459,0.173576897,0.373398925,-0.093156737,-0.14874987,0.029350667,0.054496496,-0.004389798,0.130308413,-0.055618621,-0.037724488,0.053838874,-0.038760352,-0.253064025,-0.624047386,0.125321044,-0.085945489,-0.044464851,0.099094354,-0.049333544,-0.161708172,0.028294071,-0.060925367,0.093442261,-0.141681377,0.209352433,0.241614973,0.005594942,0.0376565,0.025645905,0.080098468,-0.20194278,0.164252306,0.133333832,0.0400176,-0.421480556,0.198519154,0.245967348,0.055641151
Houses Rect Serving Platter Natural/White  38x28x1.6cmh,-0.045153431,0.066903711,0.085548861,0.267707877,-0.028792849,-0.095839606,0.023747477,0.054683194,-0.043485384,0.075542296,-0.003447926,-0.061578571,-0.018249881,0.007776984,-0.077589748,-0.344974419,0.047411802,0.013700503,-0.064089543,-0.026740569,-0.014144519,-0.129216756,0.006269393,-0.116150992,0.003773973,-0.05337905,0.161661865,0.108927346,0.055171399,-0.020602347,-0.030598239,0.024601247,-0.283030547,0.092622898,0.098410991,-0.06089128,-0.14602069,0.098339602,0.153923913,0.06318051
Gift Tag London Scarlet/Teal 7.5x10.5cmh,-0.016196889,0.026187274,0.107534182,0.109706592,0.00378929,-0.166070467,0.008659388,0.101567962,-0.014341357,-0.025525111,-0.02285024,-0.080634177,-0.014946865,-0.130085259,-0.124785102,-0.20347678,0.126081058,-0.072930959,-0.040753968,0.071890726,-0.062050281,-0.105824123,0.028627651,-0.117508563,0.027511366,-0.085246253,0.333308772,0.229321638,0.069163078,-0.112497868,0.008005302,0.022166083,-0.395267342,0.199003873,0.044753572,-0.417044189,-0.202621547,0.084188676,0.162985078,0.267113792
Danbo Oblong Board Natural   40x22x2cmh,-0.016109488,0.070608389,0.045268488,0.051243687,-0.101999512,0.052549925,0.027746019,0.112107976,-0.04501977,0.049658866,0.020001401,-0.154947995,-0.08966111,0.014811923,-0.072003629,-0.219655086,0.037542185,0.034618723,-0.024754545,0.02849275,-0.074400785,0.016138775,0.053880817,0.016390786,-0.039890448,0.008424637,0.119298823,0.027877869,0.031075059,-0.105672487,0.006899116,-0.05943526,-0.250191062,0.157036622,0.120442191,-0.210138202,-0.085593346,0.023527018,0.007163171,0.066139528
Danbo Round Board Natural   40diax2cmh,0.036057634,-0.036412248,-0.037619441,0.195600968,-0.522999898,-0.064382661,-0.017902371,0.014709592,-0.18637139,0.224204695,-0.180563808,-0.078699114,0.002820589,-0.069637894,-0.040559321,-0.544539656,0.006319355,-0.039471114,0.063455531,0.077608563,-0.132331567,0.120710139,0.007063953,0.149200834,-0.027361106,-0.086304002,0.324805448,0.03742948,0.071506864,-0.037537708,-0.08666499,-0.039331232,-0.283585116,0.335615737,0.146222563,-0.234539421,-0.065042393,-0.11895237,-0.049225707,-0.004167661
Gift Tag Sleepy Fox Clementine/Cream 10.5x7.5cmh,-0.008500218,-0.075727068,0.007067915,0.010763737,-0.129732221,-0.033425721,0.009830345,0.028220302,-0.073317055,0.06739156,-0.06534487,-0.029749192,0.014929211,-0.010559954,0.011584143,-0.136684502,0.066118523,-0.049510643,-0.006846596,0.055365303,-0.02282377,0.028710885,0.028916292,0.08358109,0.031395527,-0.075108287,0.063831086,-0.0557043,-0.005997931,-0.023708431,-0.004029014,-0.070537461,-0.121277205,0.177208716,0.069353132,-0.162277798,-0.041596348,-0.057247948,-0.029468619,-0.044204693
Danbo Oblong Board Whitewash  55x28x2cmh,-0.104391576,0.054082248,-0.036607304,0.039152953,-0.134873086,0.043059428,-0.047113914,0.105465343,-0.19269504,-0.093368235,-0.041309489,-0.109077472,-0.096168696,0.139570863,-0.07075479,-0.371213206,0.053012244,0.007696717,0.01659273,0.062941385,-0.077908538,-0.000738798,0.056130653,0.066678184,-0.034661842,-0.100928226,0.27747296,-0.034360387,0.031627027,-0.198747085,-0.010262826,-0.064181206,-0.398944128,0.202083319,0.084336863,-0.42077576,-0.103430488,0.049448205,-0.003064431,0.162433406
Card Forget Me Not Petal/Soot 10.5x14.5cmh,0.012164693,0.007725716,0.125063196,0.072797309,-0.05912103,-0.040534967,0.014684514,0.221036918,-0.023550731,0.000716377,0.011764273,-0.053223155,-0.051572918,0.003441445,-0.065513902,-0.238630545,0.078554972,-0.049445051,-0.071130729,0.087743947,-0.06352662,-0.014115808,0.026256066,-0.009257843,0.062410371,0.00070705,0.250363766,0.162507966,0.084519893,-0.11467841,0.020021917,-0.01183141,-0.273894584,0.158849513,0.084855689,-0.228826522,-0.111768465,0.048982104,0.032499735,0.224741396
Danbo Oblong Board Whitewash  40x22x2cmh,-0.033598343,0.009983658,0.081010669,0.030432023,-0.033710387,0.000733105,-0.071759863,0.132002794,-0.064686623,0.001187878,0.009152401,-0.097707908,-0.075010799,0.030301807,-0.032845806,-0.254257191,0.000216241,0.022117409,-0.05712617,0.11006778,-0.004476478,0.017295863,0.011024895,-0.06748025,-0.06940374,-0.039825209,0.298630284,0.121288086,0.06443826,-0.070831306,-0.009777159,-0.03105848,-0.332969624,0.199639762,0.054992536,-0.339774293,-0.061901519,0.053738663,0.066517624,0.13670735
Danbo Round Board Whitewash  40diax2cmh,-0.176805288,0.032665815,0.06432883,0.141624298,0.03368353,-0.025445729,0.016261059,0.286222396,0.115983156,0.27652107,0.032597754,-0.357085732,-0.159221124,0.100365853,-0.055815958,-0.20186439,0.122724744,0.009633229,-0.122987752,0.145523122,-0.046082126,0.072407007,0.131393127,0.008562717,-0.016587364,-0.022567604,0.22609089,-0.032023092,0.097767473,-0.087555393,-0.024346741,-0.202398389,-0.204803783,0.246865544,-0.009655766,-0.566312689,-0.119317088,-0.094735544,0.117729427,0.116008663
Card Secret Garden Soot/Hot Pink 10.5x14.5cmh,0.033353817,0.010619791,0.129527994,0.091567747,-0.029117335,-0.041177517,0.019641139,0.228301052,-0.018806146,0.017539575,0.011761027,-0.042620279,-0.059334868,0.025656368,-0.097787906,-0.278149413,0.08462132,-0.051152082,-0.089932468,0.088669905,-0.030010483,-0.047223683,0.03898626,-0.036320769,0.044597917,0.014222041,0.253454477,0.194331648,0.068701128,-0.113097001,0.008581502,0.000594375,-0.258170138,0.129761552,0.076306532,-0.220829284,-0.127436623,0.072562487,0.052216387,0.183123504
Harlequin Card Soot/Dove 12x12cmh,0.052769385,-0.026056618,0.117573001,0.103345979,0.007996382,-0.033811877,0.004876545,0.253019319,-0.022641944,0.023577681,-0.001732618,-0.048268473,-0.068709188,0.037308009,-0.090449322,-0.338877979,0.087339347,-0.056646195,-0.086198525,0.087178379,-0.017455498,-0.035815861,0.050439698,-0.018342007,0.072654007,0.008907948,0.273534612,0.203111991,0.088261199,-0.117321769,0.002591306,-0.014330903,-0.235925386,0.128769856,0.09031913,-0.243128692,-0.109608342,0.100843071,0.04618454,0.167565234
Hades Rectangle Board Natural/White 46x28cm,-0.035395646,-0.001350021,-0.006063434,-0.017072577,-0.026470075,-0.140191615,0.020213911,-0.001242854,0.039499706,-0.002407402,-0.011760496,-0.047612563,0.160729281,-0.027956355,-0.000744373,-0.063982233,-0.031674136,-0.003587632,-0.001817738,0.037791367,0.031056638,-0.001532375,-0.070796573,0.059994384,0.031967025,-0.131053608,-0.059905749,-0.021462951,0.023324941,0.066685652,-0.046001569,-0.033444368,0.133276436,0.059320838,-0.018334252,0.09241531,-0.081693695,-0.157734366,0.006303022,-0.030196728
Rattan Magazine Storage Basket Natural Lge 29cmh,-0.036994703,0.05788904,-0.011127793,-0.02561848,0.038656146,0.032542458,0.061676919,0.202844387,-0.027163716,-0.060013294,-0.040859548,-0.049489906,-0.060667624,0.026309272,-0.166472296,-0.024473006,-0.045509779,-0.04367851,-0.050498549,0.002741535,-0.04512052,0.080144642,0.009241131,-0.032875502,-0.10934241,-0.063753092,0.071647282,0.051168626,-0.03370989,-0.070956178,0.037102701,-0.127145489,-0.269813284,0.031197077,0.151630979,-0.348374046,0.082864194,-0.025445853,0.110697394,0.069043508
Rattan Magazine Storage Basket Natural Sm 27cmh,-0.027546239,0.080347813,-0.004151906,-0.044408173,0.085746987,-0.052617946,0.066287217,0.16074712,0.029905893,-0.079737091,0.0322354,-0.083643042,-0.05386373,0.062905563,-0.144567235,-0.098708712,-0.040892253,-0.015052467,-0.071353517,0.031609433,-0.028613509,0.113969759,-0.015189866,-0.084591506,-0.169201889,-0.081724685,0.110258666,0.081996367,-0.008501532,-0.038819095,-0.009111627,-0.199293001,-0.273329521,0.055632509,0.061396072,-0.366858254,-0.046693633,0.007291728,0.089803053,0.122528478
Kubu Square Pouf Cushion Cover Off White  60x60x8cm,-0.029896847,0.028401535,-0.0102589,-0.030022246,-0.1138426,-0.084457082,0.048276327,0.086105622,0.015575733,0.048525152,0.000574403,-0.083712792,0.14059138,0.047672761,0.006228331,-0.250763468,-0.009693259,0.002290254,-0.107367446,0.078796188,-0.019114018,0.027396439,-0.011929719,0.115600161,-0.07674845,-0.184669448,-0.098158197,-0.01288108,0.010351226,-0.043066752,-0.015870852,-0.062452332,0.071941306,0.250936919,0.079018701,-0.376587737,-0.116405866,-0.186352664,-0.004778396,0.063021155
Lacquered Ball Candle Eggplant 12cm,0.034881966,0.077384273,-0.057207496,-0.086065663,-0.05708862,-0.12408581,0.088362828,-0.034607422,0.057413427,0.0768964,0.030904488,0.176304268,0.064698458,0.033839612,0.070143795,0.178068135,-0.013709773,-0.055467587,0.018401487,-0.006276503,-0.041442107,0.07386605,-0.138426089,0.056362499,-0.091908447,-0.190572128,-0.31056786,0.041683322,-0.042212515,-0.025626778,0.028175414,0.053720469,0.238270769,0.049286531,0.02315645,0.181417065,-0.014994282,-0.093363327,-0.017562147,0.154023474
Handpainted Accent Mirror Patina 133x4x92cmh,0.036860236,0.003061717,0.01871058,0.006619773,-0.01287443,-0.131468482,0.047695702,-0.011702692,0.055428151,0.004884516,-0.027088793,-0.015296845,0.11514111,0.00735528,0.011057223,-0.017774948,-0.041695887,-0.047964607,0.014212528,0.035630825,0.020667913,-0.021070843,-0.031765485,0.036338196,0.002564651,-0.147102349,-0.009926799,0.066514055,-0.011791805,0.068654901,-0.056061784,0.038339733,0.071406564,0.024966294,0.044540951,0.093602838,-0.130155745,-0.049221731,0.007501901,0.063775533
Vitra HAL Chrome Tube Basic Dark 34.5x49x79cmh,-0.158125228,0.081499107,-0.015772061,-0.091523615,-0.274738118,-0.220882842,0.174737764,0.222312679,0.025371977,-0.031643879,0.069881971,-0.077988242,0.109014755,0.02315245,-0.082543677,-0.117356538,-0.023216675,-0.083794168,-0.129058444,0.015060573,0.030245983,0.108767981,-0.078404361,0.125821191,-0.024675387,-0.195960364,-0.232914388,0.088424864,0.114617346,0.073316278,-0.029546716,0.030662867,0.313139712,0.042201433,0.194256476,0.213786735,-0.114553253,-0.397810534,0.010872603,-0.074280931
Placemat PVC Woven Squiggle Brown 34x46cm P/10,0.04919288,-0.08852865,-0.04723895,-0.01853242,0.032731358,-0.153556126,-0.001943081,-0.106296009,0.015952369,0.044603913,-0.03361921,0.019016211,0.061434143,0.070221723,-0.045035691,-0.154212184,-0.007870751,0.025041665,0.059187047,0.026267181,0.075241587,0.030602646,-0.080958386,-0.019061431,-0.104367511,0.026907327,-0.054514458,-0.013323509,0.045112626,0.013346059,-0.101000188,-0.080674128,-0.004835095,0.04707643,0.076703693,-0.200125912,-0.036373351,-0.008207398,0.01647314,-0.118558195
Cube de Marseille Soap Olive 150gms,-0.461187927,-0.055455617,0.004675943,-0.035750062,0.028460775,-0.09866159,0.04187232,-0.006108078,0.168615706,-0.120623408,-0.0210044,0.016413065,0.224335945,-0.067530906,0.105779394,0.121317676,0.013845342,-0.156223581,-0.109460576,-0.106837274,-0.035601232,0.052192219,0.074171557,0.091977289,0.220716799,-0.091500131,-0.281794587,-0.186360795,0.094057716,0.176757605,-0.031712225,-0.128991548,0.210138885,-0.515491156,-0.033630495,0.475400978,0.10032568,-0.271529209,-0.073136069,-0.14877977
Cube de Marseille Soap Palm 150gms,-0.411479596,-9.52E-05,0.001331941,-0.036327139,0.048330368,0.064391465,0.079403466,-0.089411864,0.111680946,-0.048049895,0.029214595,0.118511064,-0.013924497,-0.022355079,0.077141172,0.242656805,0.115108546,-0.203363522,-0.077638716,-0.094002733,-0.033752251,0.085014467,0.122501454,0.014785654,0.107061068,0.034528998,-0.234938603,-0.074758773,0.090231115,0.166984687,0.068272077,-0.047977709,0.119751825,-0.589684309,0.07592647,0.218598703,0.185792846,0.007430831,-0.077012135,-0.049832007
Cube de Marseille Soap Olive 400gms,-0.39630721,-0.03915514,-0.030365538,-0.042160886,0.080383717,0.055789267,-0.008970571,-0.012704499,0.19974512,-0.101003267,0.005764489,0.13013724,-0.039784835,-0.037655581,0.117443956,0.130287536,0.03133218,-0.16709436,-0.097218904,-0.138617601,-0.014964007,0.024181369,0.092815178,-0.010335657,0.137076153,0.032386139,-0.270527706,-0.085952314,0.084308483,0.098931455,0.012569797,-0.07520647,0.073170531,-0.630458048,-0.034630094,0.281475176,0.115479915,-0.009407576,-0.087164025,-0.111050706
Cube de Marseille Soap Palm 400gms,-0.435940007,-0.005723823,0.082469921,-0.062260762,0.095371415,0.134252624,0.063744556,-0.096381385,0.284559517,-0.089327551,0.072956437,0.037856515,0.021121607,0.022634312,0.125094375,0.022003156,0.219473826,-0.083061834,-0.307937663,-0.110536899,-0.067088908,-0.003282646,0.028712517,-0.091008346,0.057103369,-0.055940068,-0.210274895,0.017873944,0.137357693,0.097861607,0.145835554,-0.260170425,0.110206637,-0.534017657,-0.066652427,0.108349017,0.044678176,0.035974676,-0.010887031,-0.131180535
Extra Pur Paper Wrap Soap Fragrance Free 100gms,-0.348883901,-0.028072716,0.055044583,-0.007274848,0.015899902,0.062672783,0.056823743,-0.069098072,0.140011446,-0.053915516,0.017356144,0.056464032,0.079161051,0.006590846,0.100523029,0.161300884,0.044710245,-0.121087545,-0.131784392,-0.070710593,-0.046376941,0.051167298,0.069928887,0.109049377,0.064757607,-0.078678813,-0.211699796,-0.100652603,0.065292728,0.073236638,0.024031292,-0.009926822,0.082646812,-0.381587328,0.060927035,0.1138266,0.121734715,-0.035924506,-0.068890373,-0.008884801
Extra Pur Paper Wrap Soap Olive & Lavender 100gms,-0.304387306,-0.000104353,-0.0302232,-0.110811586,0.032649325,0.149019309,0.043685243,-0.086889339,0.222076545,-0.082355176,-0.084541617,0.048743524,0.030506535,-0.024803602,0.127905403,0.17410641,0.022968849,-0.291262726,-0.090507928,-0.191322614,-0.008779725,0.056183139,0.196919313,0.016226515,0.09749615,0.025295799,-0.345610982,-0.094956406,0.130462057,0.08483405,-0.010257226,-0.096301565,0.063990229,-0.50704851,0.072391279,0.066831281,0.255168678,0.100193865,-0.012407538,0.022604257
Extra Pur Paper Wrap Soap Fig of Provence 100gms,-0.290441227,-0.024863422,-0.011263328,-0.079550818,0.04493306,0.148807364,0.06425632,-0.158876012,0.221024097,-0.087667771,-0.04299487,0.108580378,-0.047062837,-0.017494045,0.119023562,0.206965934,0.053577864,-0.30963901,-0.054360337,-0.23334711,-0.012069597,0.048706905,0.221036418,-0.03154867,0.129367836,0.052846846,-0.281480037,-0.095342996,0.093076356,0.070726023,0.006105743,0.007575,0.052880624,-0.645577886,0.079084506,0.114901393,0.336295417,0.101049134,-0.028451601,0.001719193
Extra Pur Paper Wrap Soap Orange Blossom 100gm,-0.348672547,0.002238437,0.005682292,-0.059191274,0.050578614,0.173223592,0.06178177,-0.123714059,0.220365366,-0.087378579,-0.031883264,0.088189483,-0.051631206,-0.009310029,0.121595073,0.156153165,0.056847075,-0.30849575,-0.080778405,-0.216205748,-0.008783805,0.051500065,0.218325436,-0.032474903,0.102918237,0.005672726,-0.281308722,-0.126972806,0.119886782,0.058459921,0.016324377,-0.013225352,0.000256,-0.588466229,0.099125336,0.064458227,0.339883443,0.094244115,-0.016673402,0.003112683
Goose Down & Feather Lge Stnd Pillow Inner White 48x76cm,-0.011356037,-0.020311243,0.017467138,-0.074899371,0.03386575,-0.129025838,-0.000750277,-0.140562251,-0.029108275,-0.079974664,-0.018074361,-0.018863894,0.093026783,0.037464102,0.033343073,0.009365945,-0.114764205,-0.021544568,0.030773301,0.020970964,0.107866859,-0.02515156,-0.115316639,-0.071874145,0.13137799,-0.15240997,-0.034129329,-0.08822118,-0.003712739,0.246094982,-0.070723022,-0.086982033,0.262046272,-0.036723774,-0.061821906,0.276579702,0.002216769,-0.223385564,0.04171971,-0.09267744
Extra Pur Paper Wrap Soap Wild Rose 100gms,-0.234577993,0.030023614,-0.015989415,-0.060477313,0.045433757,0.102130607,0.086346295,-0.064344322,0.169966586,-0.05561134,-0.021499915,0.098300724,-0.061222204,-0.034934549,0.116353189,0.150993781,0.040778943,-0.23614266,-0.009052526,-0.177454764,0.004839034,0.03236057,0.152238739,-0.019359593,0.081882076,0.025629495,-0.23140364,-0.058447441,0.030020521,0.066197116,0.022408646,0.03997559,0.002962184,-0.489574928,0.105420856,0.08801131,0.282804616,0.113805235,-0.03072697,0.037352189
Extra Pur Paper Wrap Soap Fresh Verbena 100gms,-0.254031487,0.002699541,-0.003997108,-0.08838023,0.036788219,0.139022023,0.078742833,-0.100044072,0.181295135,-0.0577448,-0.001558028,0.097334961,-0.029089685,-0.017788749,0.122512703,0.138319482,0.040654777,-0.241390428,-0.039063987,-0.198685483,-0.009562107,0.037236116,0.176512266,-1.57E-05,0.061455374,-0.008349745,-0.267919229,-0.095438451,0.070432283,0.037482373,0.013578714,0.008621327,0.03675833,-0.507339884,0.087213641,0.077880522,0.258508931,0.095236468,-0.044974219,0.038415385
Pillow Protector Lge Standard White 48x76cm,-0.026217542,-0.045777781,0.022363479,0.047699789,0.01003414,-0.181597208,0.03348837,0.02419354,0.067012056,0.06721288,-0.009488566,-0.065554775,0.147266057,0.015152561,-0.029576733,-0.008401235,-0.015594275,0.027677004,-0.014405415,0.048652241,0.071748873,-0.008460284,-0.026570017,0.053039766,-0.034209364,-0.081824868,-0.054162942,0.027627886,0.025704765,0.032914673,-0.065229568,-0.012771929,0.0703055,0.024316357,0.037345323,0.038313292,-0.078901774,-0.141183242,0.037603958,-0.04643356
Extra Pur Paper Wrap Soap Sweet Violet 100gms,-0.392546724,0.013746793,-0.007969457,-0.071885859,0.052354946,0.175002298,0.091092739,-0.109704244,0.241256475,-0.09689596,-0.037420385,0.096189017,-0.078993323,-0.04345799,0.139148206,0.221408669,0.023112178,-0.33902694,-0.060957524,-0.243009067,-0.022492189,0.060776986,0.216207938,0.01527342,0.134800384,0.073456385,-0.289518815,-0.152855679,0.112699802,0.09026629,0.0406737,-0.048660796,0.03150544,-0.733437206,0.122652285,0.074822415,0.374733224,0.133103315,-0.035916097,0.046466202
Pillow Protector Lodge White 51x91cm,-0.060107361,-0.069649755,-0.040825601,-0.046319114,0.047882224,-0.250260678,0.021462461,0.044498402,0.092453789,0.115689774,-0.019723969,-0.028782744,0.124628522,0.122783567,-0.082734242,-0.181528051,-0.027322546,0.022979977,-0.034269653,0.061809429,0.024370812,0.022821434,-0.100671338,0.03133227,0.006078953,-0.240240455,0.012318946,0.083568478,0.010212558,0.100586321,-0.099994645,-0.202246359,0.077611617,0.095404104,0.086239168,-0.050781223,-0.128516121,-0.156970842,0.096946177,-0.118659992
Extra Pur Paper Wrap Soap Summer Grapefruit 100gms,-0.276215246,-0.002703682,-0.013034468,-0.0897351,0.032240158,0.143913122,0.086521599,-0.071067953,0.218920066,-0.082201899,-0.023684223,0.102777049,-0.040289829,-0.001609657,0.135785987,0.115737581,0.055385908,-0.277519039,-0.028972817,-0.220357896,-0.01344051,0.064812267,0.22544549,0.015472613,0.06842136,-0.012815692,-0.286991312,-0.099428616,0.076799576,0.028019865,0.015201385,-0.00523517,-0.00686879,-0.556759841,0.099725745,0.08703747,0.294027627,0.108591155,-0.050802235,0.034957424
Pillow Protector Euro White 65x65cm,-0.054726764,-0.041290829,0.007708875,0.031210762,-0.00887263,-0.171165226,0.014644048,0.09326366,0.022225285,0.133628305,-0.067772792,-0.04620311,0.12620478,0.00200359,-0.035147607,-0.191868656,-0.026552208,0.016218958,0.002216202,0.100448674,0.016251239,0.010114541,-0.014983195,0.096007485,-0.016550794,-0.126030165,-0.010465447,0.020653896,0.024572626,0.054189752,-0.072783351,-0.075361318,-0.008480394,0.128879379,0.103924825,-0.022850142,-0.119371573,-0.128754957,0.02342037,-0.070224601
Extra Pur Soap Olive Lavender 180gms,-0.355115463,-0.044154826,0.083888085,-0.026555367,0.057758444,0.025535156,0.047797629,-0.061775337,0.214732897,-0.073751537,-0.020003209,0.019546775,0.101201694,-0.014293049,0.087105356,0.120705302,0.069750284,-0.152523661,-0.142845574,-0.083130862,-0.024340345,0.016096992,0.082214106,0.082135351,0.071752833,-0.059556506,-0.231912341,-0.074142296,0.118740956,0.107629295,-0.015803444,-0.102090675,0.050956883,-0.433463721,0.055379783,0.109498788,0.126566448,-0.050038559,-0.040260076,-0.056251633
Fairys,0.037009825,0.050945165,-0.0914384,-0.01479652,-0.132728278,-0.082308481,0.19181435,-0.003880717,0.141642029,0.068756148,0.004208042,0.335873004,-0.057656096,0.072405137,0.111369866,0.329345655,0.048697013,-0.106250036,0.042394864,-0.075633341,-0.138984406,0.074955838,-0.049666516,0.173911722,-0.128847119,-0.120692091,-0.376209232,0.043609098,-0.08503886,-0.101566764,-0.021152032,0.166433904,0.098675399,-0.039516413,0.108335332,0.180509469,0.053683133,0.079014354,-0.072661977,0.366987807
